,Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,CCCM_PiN_2017,Education_PiN_2017,Health_PiN_2017,Nutrition_PiN_2017,Protection_PiN_2017,NFI_PiN_2017,Shelter_PiN_2017,WASH_PiN_2017,FS_PiN_2017,ERL_PiN_2017,Intersector_PiN
0,Damascus,Damascus,Damascus,1759800.0,651000.0,651000.0,577153.0,1218837.0,441709.8,1218837.0,703920.0,351960.0,818800.0,746155.0,1073285.0,1218837.0
1,Aleppo,Jebel Saman,Jebel Saman,1333135.0,410900.0,410900.0,442007.0,923329.0,310620.46,923329.0,533254.0,266627.0,685900.0,722665.0,752114.0,923329.0
2,Homs,Homs,Homs,721669.0,314358.0,314358.0,234670.0,499828.0,187633.94,499828.0,433001.0,288668.0,386782.0,307912.0,380910.0,499828.0
3,Hama,As-Salamiyeh,Oqeirbat,20750.0,1260.0,1260.0,6705.0,14371.0,5395.0,14371.0,4150.0,2075.0,3810.0,13851.0,10869.0,14371.0
4,Hama,Hama,Hama,647940.0,130515.0,130515.0,213147.0,448763.0,168464.4,448763.0,129588.0,64794.0,137115.0,362672.0,356942.0,448763.0
5,Dar'a,Izra',Tassil,28500.0,7200.0,7200.0,9361.0,19739.0,5871.0,19739.0,5700.0,5700.0,7200.0,8208.0,13613.0,19739.0
6,Lattakia,Lattakia,Lattakia,659070.0,350480.0,350480.0,215423.0,456472.0,171358.2,456472.0,395442.0,131814.0,350480.0,287882.0,376611.0,456472.0
7,Rural Damascus,Rural Damascus,Jaramana,600000.0,300000.0,300000.0,204514.0,415560.0,134400.0,415560.0,60000.0,240000.0,300000.0,312000.0,358730.0,415560.0
8,Idleb,Harim,Dana,342380.0,299710.0,299710.0,112524.0,237132.0,71155.15,299710.0,136952.0,68476.0,299710.0,98605.0,192953.0,299710.0
9,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,334490.0,156219.0,156219.0,118602.0,231668.0,78791.06,231668.0,66898.0,133796.0,176939.0,229365.0,113266.0,231668.0
10,Rural Damascus,Rural Damascus,Qudsiya,338600.0,125940.0,125940.0,109712.0,234514.0,75846.4,234514.0,67720.0,33860.0,165270.0,180106.0,174612.0,234514.0
11,Lattakia,Al-Qardaha,Al-Qardaha,37310.0,2780.0,2780.0,12154.0,25841.0,9700.6,25841.0,3731.0,7462.0,2780.0,20521.0,19381.0,25841.0
12,Rural Damascus,At Tall,At Tall,238650.0,196260.0,196260.0,73004.0,165289.0,53457.6,218713.0,95460.0,143190.0,218713.0,121977.0,105424.0,218713.0
13,Deir-ez-Zor,Deir-ez-Zor,Deir-ez-Zor,142680.0,54320.0,54320.0,46983.0,98820.0,29426.66,142680.0,28536.0,28536.0,99616.0,142680.0,89698.0,142680.0
14,Rural Damascus,Qatana,Qatana,314740.0,175780.0,175780.0,103972.0,217989.0,70501.76,217989.0,188844.0,125896.0,184900.0,167654.0,154896.0,217989.0
15,Tartous,Sheikh Badr,Baramanet Elmashayekh,14380.0,3070.0,3070.0,4742.0,9960.0,3609.38,9960.0,1438.0,2876.0,3070.0,2472.0,5935.0,9960.0
16,Rural Damascus,Al Qutayfah,Raheiba,35000.0,6872.0,6872.0,11420.0,24241.0,7840.0,35000.0,7000.0,7000.0,35000.0,21875.0,18181.0,35000.0
17,Idleb,Idleb,Idleb,120520.0,49850.0,49850.0,40239.0,83472.0,25783.48,83472.0,24104.0,12052.0,49850.0,62823.0,73722.0,83472.0
18,As-Sweida,Shahba,Ariqa,10530.0,2030.0,2030.0,3456.0,7293.0,2263.95,7293.0,2106.0,2106.0,2030.0,3922.0,4179.0,7293.0
19,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,214010.0,112265.0,112265.0,71787.0,148223.0,44086.06,162650.0,128406.0,42802.0,123675.0,162650.0,112507.0,162650.0
20,Aleppo,A'zaz,A'zaz,212975.0,166563.0,166563.0,72582.0,147506.0,49623.18,167580.0,127785.0,85190.0,167580.0,87432.0,133878.0,167580.0
21,Rural Damascus,Rural Damascus,Babella,175800.0,27820.0,27820.0,60515.0,121759.0,39379.2,121759.0,35160.0,35160.0,70580.0,79753.0,81435.0,121759.0
22,Tartous,Tartous,Tartous,251930.0,90170.0,90170.0,81745.0,174487.0,63234.43,174487.0,50386.0,100772.0,90170.0,104771.0,163954.0,174487.0
23,Aleppo,Menbij,Menbij,204048.0,54729.0,54729.0,67340.0,141324.0,47543.18,155465.0,40810.0,20405.0,73454.0,155465.0,105997.0,155465.0
24,Dar'a,Dar'a,Dar'a,174400.0,58650.0,58650.0,57853.0,120789.0,35926.4,120789.0,104640.0,69760.0,58650.0,77060.0,95176.0,120789.0
