Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,CCCM_PiN_2017,Education_PiN_2017,Health_PiN_2017,Nutrition_PiN_2017,Protection_PiN_2017,NFI_PiN_2017,Shelter_PiN_2017,WASH_PiN_2017,FS_PiN_2017,ERL_PiN_2017,Intersector_PiN,CCCM_Severity_2017,Education_Severity_2017,Health_Severity_2017,Nutrition_Severity_2017,Protection_Severity_2017,NFI_Severity_2017,Shelter_Severity_2017,WASH_Severity_2017,FS_Severity_2017,ERL_Severity_2017
Damascus,Damascus,Damascus,1759800.00,651000.00,651000.00,577153.00,1218837.00,441709.80,1218837.00,703920.00,351960.00,818800.00,746155.00,1073285.00,1218837.00,4.00,3.00,1.00,3.00,5.00,4.00,3.00,3.00,5.00,5.00
Aleppo,Jebel Saman,Jebel Saman,1333135.00,410900.00,410900.00,442007.00,923329.00,310620.46,923329.00,533254.00,266627.00,685900.00,722665.00,752114.00,923329.00,4.00,5.00,2.00,4.00,5.00,4.00,3.00,6.00,5.00,5.00
Homs,Homs,Homs,721669.00,314358.00,314358.00,234670.00,499828.00,187633.94,499828.00,433001.00,288668.00,386782.00,307912.00,380910.00,499828.00,5.00,3.00,2.00,3.00,6.00,5.00,4.00,4.00,5.00,6.00
Hama,As-Salamiyeh,Oqeirbat,20750.00,1260.00,1260.00,6705.00,14371.00,5395.00,14371.00,4150.00,2075.00,3810.00,13851.00,10869.00,14371.00,1.00,6.00,4.00,3.00,3.00,3.00,2.00,4.00,4.00,6.00
Hama,Hama,Hama,647940.00,130515.00,130515.00,213147.00,448763.00,168464.40,448763.00,129588.00,64794.00,137115.00,362672.00,356942.00,448763.00,3.00,1.00,0.00,3.00,3.00,3.00,2.00,4.00,4.00,5.00
Dar'a,Izra',Tassil,28500.00,7200.00,7200.00,9361.00,19739.00,5871.00,19739.00,5700.00,5700.00,7200.00,8208.00,13613.00,19739.00,3.00,5.00,1.00,4.00,3.00,3.00,3.00,4.00,4.00,6.00
Lattakia,Lattakia,Lattakia,659070.00,350480.00,350480.00,215423.00,456472.00,171358.20,456472.00,395442.00,131814.00,350480.00,287882.00,376611.00,456472.00,6.00,3.00,0.00,4.00,5.00,5.00,3.00,3.00,5.00,6.00
Rural Damascus,Rural Damascus,Jaramana,600000.00,300000.00,300000.00,204514.00,415560.00,134400.00,415560.00,60000.00,240000.00,300000.00,312000.00,358730.00,415560.00,5.00,6.00,1.00,4.00,4.00,2.00,4.00,4.00,5.00,6.00
Idleb,Harim,Dana,342380.00,299710.00,299710.00,112524.00,237132.00,71155.15,299710.00,136952.00,68476.00,299710.00,98605.00,192953.00,299710.00,6.00,6.00,2.00,3.00,5.00,4.00,3.00,3.00,5.00,6.00
Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,334490.00,156219.00,156219.00,118602.00,231668.00,78791.06,231668.00,66898.00,133796.00,176939.00,229365.00,113266.00,231668.00,5.00,6.00,3.00,5.00,6.00,3.00,4.00,4.00,5.00,5.00
